count: 1, address=0x194421c, size=9 p=Agnesse
count: 2, address=0x194428c, size=7 p=Ailis
count: 3, address=0x194429b, size=7 p=Ailyn
count: 4, address=0x19442f8, size=8 p=Alanah
count: 5, address=0x194441a, size=7 p=Alice
count: 6, address=0x1944440, size=6 p=Alie
count: 7, address=0x1944518, size=7 p=Allyn
count: 8, address=0x1944526, size=9 p=Allyson
count: 9, address=0x194454e, size=8 p=Almira
count: 10, address=0x19445b7, size=7 p=Alyda
count: 11, address=0x1944779, size=8 p=Andeee
count: 12, address=0x19447c0, size=8 p=Andria
count: 13, address=0x19447d2, size=11 p=Andriette
count: 14, address=0x19447ef, size=12 p=Anestassia
count: 15, address=0x1944818, size=6 p=Ange
count: 16, address=0x194483e, size=10 p=Angelica
count: 17, address=0x194496f, size=10 p=Annalise
count: 18, address=0x1944984, size=11 p=Annamarie
count: 19, address=0x19449ee, size=6 p=Anni
count: 20, address=0x1944a38, size=6 p=Anny
count: 21, address=0x1944a47, size=8 p=Ansley
count: 22, address=0x1944a7b, size=12 p=Antoinette
count: 23, address=0x1944ad6, size=7 p=April
count: 24, address=0x1944add, size=11 p=Aprilette
count: 25, address=0x1944afe, size=9 p=Arabele
count: 26, address=0x1944b21, size=8 p=Ardath
count: 27, address=0x1944b4c, size=9 p=Ardelle
count: 28, address=0x1944b93, size=8 p=Ardyce
count: 29, address=0x1944bbb, size=8 p=Ariana
count: 30, address=0x1944c4e, size=9 p=Arlinda
count: 31, address=0x1944d17, size=8 p=Athene
count: 32, address=0x1944e81, size=6 p=Avis
count: 33, address=0x1944f14, size=14 p=Barbara-Anne
count: 34, address=0x1944f74, size=8 p=Barrie
count: 35, address=0x1944fc1, size=9 p=Beatriz
count: 36, address=0x1945001, size=9 p=Beitris
count: 37, address=0x194502f, size=8 p=Belita
count: 38, address=0x19450a0, size=8 p=Benita
count: 39, address=0x19450fe, size=11 p=Bernadina
count: 40, address=0x19451f2, size=8 p=Bessie
count: 41, address=0x194534a, size=8 p=Binnie
count: 42, address=0x194535f, size=8 p=Birdie
count: 43, address=0x19453ed, size=8 p=Blithe
count: 44, address=0x194544b, size=7 p=Bobby
count: 45, address=0x1945463, size=8 p=Bobina
count: 46, address=0x194550f, size=6 p=Bree
count: 47, address=0x194554e, size=8 p=Briana
count: 48, address=0x194556f, size=9 p=Bridget
count: 49, address=0x1945592, size=9 p=Brietta
count: 50, address=0x19455d7, size=7 p=Brinn
count: 51, address=0x19455fa, size=9 p=Britney
count: 52, address=0x1945677, size=8 p=Brooke
count: 53, address=0x1945752, size=7 p=Cally
count: 54, address=0x19457b8, size=8 p=Cammie
count: 55, address=0x1945838, size=8 p=Caresa
count: 56, address=0x19458d0, size=8 p=Carlen
count: 57, address=0x19458d8, size=9 p=Carlene
count: 58, address=0x19459fe, size=10 p=Carolann
count: 59, address=0x1945a8f, size=7 p=Carry
count: 60, address=0x1945cbb, size=11 p=Celestyna
count: 61, address=0x1945d58, size=8 p=Charin
count: 62, address=0x1945d72, size=10 p=Charisse
count: 63, address=0x1945d7c, size=9 p=Charita
count: 64, address=0x1945e90, size=9 p=Cherice
count: 65, address=0x1945f7a, size=9 p=Chrissy
count: 66, address=0x1945f8c, size=12 p=Christabel
count: 67, address=0x1946044, size=10 p=Christye
count: 68, address=0x19470db, size=7 p=Cinda
count: 69, address=0x194710f, size=8 p=Cindra
count: 70, address=0x194717e, size=10 p=Clarette
count: 71, address=0x1947190, size=7 p=Clari
count: 72, address=0x19471e2, size=7 p=Clary
count: 73, address=0x19471e9, size=8 p=Claude
count: 74, address=0x194721b, size=9 p=Claudie
count: 75, address=0x1947238, size=6 p=Clea
count: 76, address=0x19472dc, size=6 p=Cody
count: 77, address=0x19472f2, size=9 p=Coletta
count: 78, address=0x1947366, size=7 p=Conni
