count: 1, address=0x1dbf000, size=7 p=Aaren
count: 2, address=0x1dbf007, size=8 p=Aarika
count: 3, address=0x1dbf00f, size=9 p=Abagael
count: 4, address=0x1dbf018, size=9 p=Abagail
count: 5, address=0x1dbf051, size=9 p=Abigail
count: 6, address=0x1dbf0a4, size=6 p=Addy
count: 7, address=0x1dbf181, size=10 p=Adrianna
count: 8, address=0x1dbf2f1, size=7 p=Alana
count: 9, address=0x1dbf3f2, size=7 p=Alfie
count: 10, address=0x1dbf4e3, size=9 p=Allison
count: 11, address=0x1dbf53d, size=9 p=Almeria
count: 12, address=0x1dbf5b0, size=7 p=Alyce
count: 13, address=0x1dbf62c, size=9 p=Amalita
count: 14, address=0x1dbf772, size=7 p=Andee
count: 15, address=0x1dbf790, size=7 p=Andie
count: 16, address=0x1dbf7ef, size=12 p=Anestassia
count: 17, address=0x1dbf82d, size=8 p=Angele
count: 18, address=0x1dbf93a, size=11 p=Annabelle
count: 19, address=0x1dbf9bc, size=11 p=Anneliese
count: 20, address=0x1dbf9f4, size=8 p=Annice
count: 21, address=0x1dbfaa6, size=9 p=Antonie
count: 22, address=0x1dbfb3a, size=9 p=Ardelis
count: 23, address=0x1dbfbaa, size=8 p=Aretha
count: 24, address=0x1dbfc24, size=9 p=Arlette
count: 25, address=0x1dbfca8, size=8 p=Ashlan
count: 26, address=0x1dbfd3a, size=8 p=Aubine
count: 27, address=0x1dbfdb4, size=9 p=Auguste
count: 28, address=0x1dbfe33, size=8 p=Aurora
count: 29, address=0x1dbfece, size=9 p=Babette
count: 30, address=0x1dbff48, size=8 p=Barbey
count: 31, address=0x1dbffca, size=6 p=Bebe
count: 32, address=0x1dbffd0, size=7 p=Becca
count: 33, address=0x1dbfff9, size=8 p=Beilul
count: 34, address=0x1dc0055, size=9 p=Bellina
count: 35, address=0x1dc008c, size=11 p=Benedikta
count: 36, address=0x1dc00af, size=8 p=Bennie
count: 37, address=0x1dc00d1, size=7 p=Beret
count: 38, address=0x1dc00e7, size=11 p=Bernadene
count: 39, address=0x1dc012c, size=10 p=Bernelle
count: 40, address=0x1dc01ad, size=8 p=Berthe
count: 41, address=0x1dc01b5, size=7 p=Berti
count: 42, address=0x1dc01d6, size=7 p=Berty
count: 43, address=0x1dc02d5, size=8 p=Bianca
count: 44, address=0x1dc036f, size=10 p=Birgitta
count: 45, address=0x1dc03cd, size=9 p=Blinnie
count: 46, address=0x1dc0495, size=12 p=Bonnibelle
count: 47, address=0x1dc04a9, size=7 p=Bonny
count: 48, address=0x1dc04ff, size=9 p=Breanne
count: 49, address=0x1dc0539, size=8 p=Brenna
count: 50, address=0x1dc067f, size=8 p=Brooks
count: 51, address=0x1dc077f, size=10 p=Camellia
count: 52, address=0x1dc0894, size=10 p=Cariotta
count: 53, address=0x1dc08af, size=9 p=Caritta
count: 54, address=0x1dc0989, size=10 p=Carmella
count: 55, address=0x1dc09ba, size=9 p=Carmine
