count: 1, address=0x106c22d, size=8 p=Agnola
count: 2, address=0x106c277, size=7 p=Ailey
count: 3, address=0x106c27e, size=6 p=Aili
count: 4, address=0x106c2b6, size=9 p=Aindrea
count: 5, address=0x106c35c, size=11 p=Alejandra
count: 6, address=0x106c3f9, size=9 p=Alfreda
count: 7, address=0x106c478, size=8 p=Alison
count: 8, address=0x106c480, size=8 p=Alissa
count: 9, address=0x106c4cd, size=7 p=Allie
count: 10, address=0x106c4ec, size=9 p=Allissa
count: 11, address=0x106c504, size=6 p=Allx
count: 12, address=0x106c50a, size=6 p=Ally
count: 13, address=0x106c5e2, size=7 p=Alyss
count: 14, address=0x106c674, size=7 p=Amber
count: 15, address=0x106c684, size=7 p=Ambur
count: 16, address=0x106c6a0, size=9 p=Amelina
count: 17, address=0x106c7b8, size=8 p=Andrei
count: 18, address=0x106c7c0, size=8 p=Andria
count: 19, address=0x106c848, size=10 p=Angelika
count: 20, address=0x106c89e, size=7 p=Anica
count: 21, address=0x106c8c7, size=8 p=Anjela
count: 22, address=0x106c8cf, size=5 p=Ann
count: 23, address=0x106c96f, size=10 p=Annalise
count: 24, address=0x106c98f, size=6 p=Anne
count: 25, address=0x106c9d1, size=11 p=Annemarie
count: 26, address=0x106c9ee, size=6 p=Anni
count: 27, address=0x106c9f4, size=8 p=Annice
count: 28, address=0x106cb7c, size=8 p=Ardisj
count: 29, address=0x106cc68, size=6 p=Arly
count: 30, address=0x106ccca, size=8 p=Ashley
count: 31, address=0x106cd0f, size=8 p=Athena
count: 32, address=0x106cd42, size=8 p=Aubree
count: 33, address=0x106ce19, size=9 p=Aurilia
count: 34, address=0x106ce9d, size=7 p=Avrit
count: 35, address=0x106cf57, size=8 p=Barbie
count: 36, address=0x106cf5f, size=8 p=Barbra
count: 37, address=0x106d011, size=5 p=Bel
count: 38, address=0x106d081, size=11 p=Benedicta
count: 39, address=0x106d0c7, size=10 p=Berenice
count: 40, address=0x106d136, size=9 p=Bernete
count: 41, address=0x106d153, size=7 p=Berni
count: 42, address=0x106d16b, size=9 p=Bernita
count: 43, address=0x106d174, size=7 p=Berny
count: 44, address=0x106d1a5, size=8 p=Bertha
count: 45, address=0x106d1b5, size=7 p=Berti
count: 46, address=0x106d1d6, size=7 p=Berty
count: 47, address=0x106d279, size=9 p=Bettine
count: 48, address=0x106d29e, size=9 p=Beverie
count: 49, address=0x106d2bb, size=10 p=Beverlie
count: 50, address=0x106d311, size=8 p=Bidget
count: 51, address=0x106d31f, size=6 p=Bill
count: 52, address=0x106d32c, size=8 p=Billie
count: 53, address=0x106d334, size=7 p=Billy
count: 54, address=0x106d379, size=7 p=Blair
count: 55, address=0x106d45a, size=9 p=Bobette
count: 56, address=0x106d515, size=8 p=Breena
count: 57, address=0x106d5cf, size=8 p=Briney
count: 58, address=0x106d603, size=8 p=Britni
count: 59, address=0x106d638, size=10 p=Brittany
count: 60, address=0x106d6c1, size=8 p=Brynne
count: 61, address=0x106d797, size=8 p=Camile
count: 62, address=0x106d7e9, size=9 p=Candide
count: 63, address=0x106d7f2, size=8 p=Candie
count: 64, address=0x106d902, size=9 p=Carline
count: 65, address=0x106d97e, size=11 p=Carmelita
count: 66, address=0x106da08, size=8 p=Carole
count: 67, address=0x106da5e, size=7 p=Caron
count: 68, address=0x106dbc0, size=9 p=Cathryn
count: 69, address=0x106dc40, size=8 p=Cecile
count: 70, address=0x106dc9b, size=11 p=Celestina
count: 71, address=0x106dccd, size=7 p=Celie
count: 72, address=0x106dd1a, size=8 p=Chanda
count: 73, address=0x106df13, size=9 p=Cheslie
count: 74, address=0x106df2e, size=8 p=Chicky
count: 75, address=0x106e025, size=11 p=Christina
count: 76, address=0x106e059, size=8 p=Chrysa
count: 77, address=0x106f124, size=8 p=Cindee
count: 78, address=0x106f130, size=10 p=Cindelyn
count: 79, address=0x106f1a7, size=8 p=Claire
count: 80, address=0x106f1d4, size=10 p=Claresta
count: 81, address=0x106f22c, size=8 p=Clarie
count: 82, address=0x106f2a5, size=9 p=Claudia
count: 83, address=0x106f2c6, size=10 p=Claudine
count: 84, address=0x106f2e7, size=10 p=Clemence
count: 85, address=0x106f2f2, size=11 p=Clementia
count: 86, address=0x106f340, size=10 p=Clerissa
count: 87, address=0x106f354, size=5 p=Clo
count: 88, address=0x106f37c, size=8 p=Clovis
count: 89, address=0x106f447, size=7 p=Conni
count: 90, address=0x106f45b, size=7 p=Conny
count: 91, address=0x106f47b, size=12 p=Constancia
count: 92, address=0x106f49d, size=12 p=Constantia
count: 93, address=0x106f515, size=9 p=Coralie
count: 94, address=0x106f529, size=9 p=Coralyn
count: 95, address=0x106f53d, size=10 p=Cordelie
count: 96, address=0x106f547, size=8 p=Cordey
count: 97, address=0x106f5a1, size=9 p=Coretta
count: 98, address=0x106f5c9, size=7 p=Corie
count: 99, address=0x106f62d, size=9 p=Cornela
count: 100, address=0x106f6a8, size=7 p=Corry
count: 101, address=0x106f6df, size=11 p=Courtenay
count: 102, address=0x106f777, size=12 p=Cristionna
count: 103, address=0x106f7c2, size=8 p=Cybill
count: 104, address=0x106f849, size=6 p=Dael
count: 105, address=0x106f876, size=8 p=Dahlia
count: 106, address=0x106f888, size=8 p=Daisey
count: 107, address=0x106f8a3, size=7 p=Daisy
count: 108, address=0x106f8be, size=7 p=Dalia
count: 109, address=0x106f94e, size=9 p=Daniele
count: 110, address=0x106f9bc, size=7 p=Danya
count: 111, address=0x106fa45, size=7 p=Darda
count: 112, address=0x106fa9e, size=9 p=Darline
count: 113, address=0x106faa7, size=10 p=Darlleen
count: 114, address=0x106fb6b, size=7 p=Dayna
count: 115, address=0x106fbbb, size=7 p=Debby
count: 116, address=0x106fbd3, size=6 p=Debi
count: 117, address=0x106fbdb, size=7 p=Debor
count: 118, address=0x106fc14, size=5 p=Dee
count: 119, address=0x106fc2d, size=9 p=Deeanne
count: 120, address=0x106fcaa, size=9 p=Delilah
count: 121, address=0x106fcf7, size=10 p=Delphine
count: 122, address=0x106fd1e, size=10 p=Demetria
count: 123, address=0x106fddf, size=9 p=Devinne
count: 124, address=0x106fe5f, size=7 p=Diann
count: 125, address=0x106fee1, size=6 p=Dita
count: 126, address=0x106ff39, size=7 p=Dolli
count: 127, address=0x106ff64, size=11 p=Doloritas
count: 128, address=0x106ff8a, size=10 p=Dominica
count: 129, address=0x106ffc2, size=7 p=Donia
count: 130, address=0x1070194, size=5 p=Dre
count: 131, address=0x10701aa, size=7 p=Drona
count: 132, address=0x107021f, size=8 p=Dulcie
count: 133, address=0x1070241, size=8 p=Dulsea
count: 134, address=0x1070265, size=7 p=Dyann
count: 135, address=0x107026c, size=8 p=Dyanna
count: 136, address=0x1070294, size=6 p=Eada
count: 137, address=0x10702bc, size=8 p=Easter
count: 138, address=0x10702e1, size=5 p=Eda
count: 139, address=0x10702e8, size=6 p=Eddi
count: 140, address=0x1070322, size=6 p=Edie
count: 141, address=0x1070330, size=7 p=Edita
count: 142, address=0x107034e, size=7 p=Ediva
count: 143, address=0x1070389, size=7 p=Eilis
count: 144, address=0x10703bb, size=7 p=Elana
count: 145, address=0x10703da, size=11 p=Elbertina
count: 146, address=0x10703e5, size=11 p=Elbertine
count: 147, address=0x10703f9, size=10 p=Eleanora
count: 148, address=0x1070403, size=10 p=Eleanore
count: 149, address=0x107041d, size=7 p=Elena
count: 150, address=0x1070424, size=7 p=Elene
count: 151, address=0x1070432, size=9 p=Elenore
count: 152, address=0x107045f, size=9 p=Elfrida
count: 153, address=0x1070472, size=6 p=Elga
count: 154, address=0x107048d, size=8 p=Elicia
count: 155, address=0x1070495, size=6 p=Elie
count: 156, address=0x107051d, size=6 p=Ella
count: 157, address=0x107053c, size=8 p=Ellene
count: 158, address=0x107054d, size=6 p=Elli
count: 159, address=0x1070564, size=6 p=Elly
count: 160, address=0x107057a, size=8 p=Elmira
count: 161, address=0x1070589, size=8 p=Elnora
count: 162, address=0x10705b2, size=7 p=Elora
count: 163, address=0x10705c9, size=6 p=Else
count: 164, address=0x10705d0, size=7 p=Elset
count: 165, address=0x10705de, size=6 p=Elsi
count: 166, address=0x10705e5, size=7 p=Elsie
count: 167, address=0x10705ec, size=10 p=Elsinore
count: 168, address=0x10705f6, size=9 p=Elspeth
count: 169, address=0x107061d, size=8 p=Elvira
count: 170, address=0x107063b, size=8 p=Elysee
count: 171, address=0x1070643, size=8 p=Elysha
count: 172, address=0x1070653, size=8 p=Elyssa
count: 173, address=0x107065b, size=4 p=Em
count: 174, address=0x1070689, size=9 p=Emelina
count: 175, address=0x10706a4, size=9 p=Emelyne
count: 176, address=0x10706ad, size=7 p=Emera
count: 177, address=0x10706bc, size=7 p=Emili
count: 178, address=0x1070702, size=9 p=Emmalee
count: 179, address=0x1070715, size=9 p=Emmalyn
count: 180, address=0x1070733, size=10 p=Emmeline
count: 181, address=0x107074b, size=7 p=Emmie
count: 182, address=0x1070758, size=7 p=Emmye
count: 183, address=0x1070768, size=7 p=Emyle
count: 184, address=0x107078f, size=12 p=Enrichetta
count: 185, address=0x10707ae, size=9 p=Eolanda
count: 186, address=0x10707b7, size=9 p=Eolande
count: 187, address=0x10707cc, size=7 p=Erena
count: 188, address=0x1070805, size=8 p=Erinna
count: 189, address=0x107084b, size=10 p=Ernaline
count: 190, address=0x1070885, size=6 p=Esme
count: 191, address=0x1070896, size=6 p=Essa
count: 192, address=0x107089c, size=7 p=Essie
